epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,4458.21,1.20998,0.64487,0.87237,0.5769,0.53918,0.58146,0.35511,1.14437,0.92587,0.87407,0.00053225,0.00053225,0.00053225
60,4518.86,1.23271,0.64816,0.86947,0.6377,0.49342,0.57383,0.34606,1.15078,0.96839,0.87358,0.000519875,0.000519875,0.000519875
61,4580.08,1.22608,0.65056,0.86844,0.59922,0.50658,0.56666,0.34732,1.15158,0.9854,0.87519,0.0005075,0.0005075,0.0005075
62,4641.28,1.20701,0.63392,0.86984,0.62094,0.51291,0.57601,0.35532,1.13518,0.9296,0.87418,0.000495125,0.000495125,0.000495125
63,4702.84,1.20442,0.63025,0.8721,0.60885,0.53145,0.57828,0.35591,1.14031,0.95706,0.87311,0.00048275,0.00048275,0.00048275
64,4844.89,1.20974,0.63069,0.86921,0.61038,0.52226,0.57878,0.35499,1.13863,0.89884,0.87216,0.000470375,0.000470375,0.000470375
65,4905.87,1.18063,0.61461,0.8682,0.61299,0.52548,0.58225,0.35587,1.139,0.94639,0.87136,0.000458,0.000458,0.000458
66,4967.07,1.18892,0.62575,0.86595,0.62172,0.50599,0.57235,0.35113,1.13166,0.96613,0.86965,0.000445625,0.000445625,0.000445625
67,5028.33,1.18461,0.61724,0.86772,0.60777,0.53756,0.58016,0.3593,1.11928,0.93212,0.86778,0.00043325,0.00043325,0.00043325
68,5089.64,1.17461,0.61677,0.86515,0.61153,0.5303,0.5822,0.36029,1.1158,0.93529,0.86747,0.000420875,0.000420875,0.000420875
69,5151.23,1.18009,0.61254,0.86686,0.6066,0.52286,0.5802,0.35667,1.1151,0.96293,0.86836,0.0004085,0.0004085,0.0004085
70,5212.62,1.18887,0.61894,0.86169,0.6176,0.51858,0.57867,0.35512,1.11662,0.95277,0.8667,0.000396125,0.000396125,0.000396125
71,5273.87,1.16731,0.60017,0.86236,0.62264,0.5279,0.57741,0.35862,1.10082,0.9252,0.86474,0.00038375,0.00038375,0.00038375
72,5335.62,1.16376,0.59889,0.86348,0.61042,0.52965,0.57913,0.36167,1.10475,0.91263,0.86534,0.000371375,0.000371375,0.000371375
73,5396.85,1.17757,0.60265,0.87164,0.61568,0.5368,0.58119,0.36477,1.0963,0.90471,0.8652,0.000359,0.000359,0.000359
74,5458.19,1.16141,0.60196,0.86021,0.60159,0.53714,0.58216,0.36476,1.10279,0.94229,0.86588,0.000346625,0.000346625,0.000346625
75,5519.63,1.1577,0.59284,0.86302,0.60675,0.5232,0.57809,0.36131,1.09437,0.9428,0.86423,0.00033425,0.00033425,0.00033425
